Instance,CW,IN,Optimal Cost,Gap CW (%),Gap IN (%)
E016-03m.dat,326.284,284.419,,,
E016-05m.dat,341.551,384.453,,,
E021-04m.dat,448.437,402.466,,,
E021-06m.dat,503.611,505.538,,,
E022-04g.dat,433.668,395.925,,,
E022-06m.dat,536.345,559.003,,,
E023-03g.dat,844.428,619.517,,,
E026-08m.dat,706.505,607.651,,,
E030-03g.dat,834.585,632.501,,,
E031-09h.dat,647.544,677.73,,,
E033-04g.dat,1039.96,871.487,,,
E033-05s.dat,1039.96,871.487,,,
E036-11h.dat,749.377,770.383,,,
E041-14h.dat,902.291,969.264,,,
E045-04f.dat,1163.22,885.211,723.541,60.77,22.34
E048-04y.dat,86221.1,50957.5,,,
E051-05e.dat,901.617,646.484,524.611,71.86,23.23
E072-04f.dat,545.918,267.956,241.973,125.61,10.74
E076-07s.dat,1479.02,772.54,,,
E076-07u.dat,1479.02,772.54,690.804,114.1,11.83
E076-08s.dat,1479.02,814.697,,,
E076-08u.dat,1479.02,814.697,742.582,99.17,9.71
E076-10e.dat,1479.02,934.289,837.355,76.63,11.58
E076-14s.dat,1479.47,1203.63,,,
E076-14u.dat,1479.47,1203.63,1028.791,43.81,16.99
E076-15s.dat,1479.47,1203.63,,,
E076A10r.dat,2464.33,2034.45,,,
E076B09r.dat,2127.84,1668.04,,,
E076C09r.dat,1954.19,1464.4,,,
E076D09r.dat,2071.66,1723.12,,,
E101-08e.dat,1613.91,913.713,826.136,95.36,10.6
E101-10c.dat,1181.14,1024.9,819.557,44.12,25.06
E101-14s.dat,1656.35,1231.4,,,
E101-14u.dat,1656.35,1231.4,1091.088,51.81,12.86
E101A11r.dat,2948.22,2355.88,,,
E101B11r.dat,3188.72,2120.91,,,
E101C11r.dat,2552.46,1683.5,,,
E101D11r.dat,2476.67,2107.21,,,
E121-07c.dat,1540.44,1238.14,1042.115,47.82,18.81
E135-07f.dat,1888.49,1444.08,1162.956,62.39,24.17
E151-12b.dat,2483.27,1227.16,,,
E151-12c.dat,2309.42,1227.16,1031.073,123.98,19.02
E151A15r.dat,4679.24,3524.07,,,
E151B14r.dat,4366.65,3101.55,,,
E151C14r.dat,4454.87,3750.15,,,
E151D14r.dat,4503.09,3264.65,,,
E200-16b.dat,3158.96,1491.92,,,
E200-16c.dat,3043.87,1491.92,,,
E200-17b.dat,3158.96,1491.92,1291.445,144.61,15.52
E200-17c.dat,3043.87,1491.92,1311.348,132.12,13.77
